Type,Name,Status,Score /5,Author,Completed Date,Publisher,Publishing/Release Date,Link,Summary,Comments,Order
edX,"CS50 HTML, CSS, JavaScript",Finished,⭐️⭐️⭐️⭐️⭐️,David Malan,"April 1, 2022",HarvardX,,https://cs50.harvard.edu/x/2022/weeks/8/,,,
edX,CS50 Flask,Finished,⭐️⭐️⭐️⭐️⭐️,David Malan,"April 7, 2022",HarvardX,,,hour 1 minute 10,,
Pluralsight,A Practical Guide to Vanilla Web Components,Finished,⭐️⭐️⭐️⭐️,Leon Revill,"April 7, 2022",Pluralsight,"April 10, 2017",https://app.pluralsight.com/library/courses/vanilla-web-components-practical-guide/table-of-contents,Web Components are set to change how you build front-end web applications. This course teaches you how to use the Web Components specifications to create encapsulated and reusable UI components which can be used with almost any framework or library.,,
Pluralsight,Using HttpClient to Consume APIs in .NET,Finished,⭐️⭐️⭐️⭐️,Kevin Dockx,"April 29, 2022",Pluralsight,"May 31, 2021",https://app.pluralsight.com/library/courses/using-httpclient-consume-apis-dot-net/table-of-contents,This course will teach you how to consume APIs with HttpClient in .NET.,,
edX,CS50 Python,Finished,⭐️⭐️⭐️⭐️,David Malan,"May 14, 2022",HarvardX,,https://learning.edx.org/course/course-v1:HarvardX+CS50+X/block-v1:HarvardX+CS50+X+type@sequential+block@9237014205f5445ca47b474ed7dd3def/block-v1:HarvardX+CS50+X+type@vertical+block@ac7b1655e19a444092cf68874e022a8b,,,
edX,CS50 SQL,Finished,⭐️⭐️⭐️⭐️,David Malan,"May 16, 2022",HarvardX,,,,,
edX,"CS50W Testing, CI/CD",Finished,⭐️⭐️⭐️⭐️,Brian Yu,"May 20, 2022",HarvardX,,https://learning.edx.org/course/course-v1:HarvardX+CS50W+Web/home,,,
edX,CS50W Scalabilitly and Security,Finished,⭐️⭐️⭐️⭐️,Brian Yu,"May 21, 2022",HarvardX,,,,,
Pluralsight,.NET 6 First Look,Finished,⭐️⭐️⭐️⭐️⭐️,Gill Cleeren,"June 14, 2022",Pluralsight,"November 7, 2021",https://app.pluralsight.com/library/courses/dot-net-6-first-look/table-of-contents,".NET 6.0 comes packed with changes. Alongside, Visual Studio 2022 will be released in parallel. This course will teach you what you can expect in this latest iteration of the platform and its IDE.",,
Technical Book,Clean Code,Finished,⭐️⭐️⭐️,Robert Martin,"June 16, 2022",O'Reilly Media,,,,,
Pluralsight,C# 10: The Big Picture,Finished,⭐️⭐️⭐️⭐️,Mike Woodring,"July 4, 2022",Pluralsight,"December 10, 2021",https://app.pluralsight.com/library/courses/c-sharp-10-big-picture/table-of-contents,"C# is one of the most popular programming languages in the world. This course will teach you core concepts critical to evaluating whether C# is the right language for you, and will prepare you to kick start your learning journey to C# mastery.",,
Pluralsight,OWASP Top 10: API Security Playbook,Finished,⭐️⭐️⭐️⭐️⭐️,Gavin Johnson-Lynn,"September 22, 2022",Pluralsight,"September 24, 2020",https://app.pluralsight.com/library/courses/owasp-top-ten-api-security-playbook/table-of-contents,"APIs are crucial to the internet and their security is vital to both their creators and consumers. This course will teach you about each of the OWASP API Top 10 vulnerabilities, helping you to identify and prevent them in your APIs.",,
